"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561349958.A.CE1#00000", "rick102233", "中時  季節<br><br>蔡英文總統與民進黨最近積極提出反「假新聞」作為，被論者質疑有侵害媒體新聞自由與言<br>論自由的疑慮。前國民黨青年團總團長呂謦煒就認為，在蔡英文與民進黨的統治之下，台灣<br>正慢慢走回過去威權戒嚴時代的言論管制，他更舉出美國商會的提醒，呼籲民進黨勿強制數<br>位平台侵害言論自由。<br><br>呂謦煒表示，在戒嚴時代，「宣揚共產主義、反對分裂國土」是不被允許的。民進黨自己爭<br>取「100％的言論自由」，爭取到言論自由的大幅擴張；然而，民進黨現在正以「國家安全<br>」與「假新聞」的管制為理由，蠶食鯨吞我們的言論自由，讓我們逐步回到解嚴前。<br><br>呂謦煒質疑，什麼樣的新聞是「假新聞」？什麼樣的新聞訊息有違「國家安全」？如果一切<br>的一切都由當權者來決定，甚至對於訊息的真實程度有多重標準，是否會造成利於當權者的<br>盡量加以解釋成不是假新聞、反對當權者的就吹毛求疵，主張通通都是假新聞？如此欠缺法<br>律明確性的結果，造成的是媒體工作者人人自危。<br><br>呂謦煒舉例，在美國商會公布的2019年台灣白皮書中，籲請台灣參考《馬尼拉仲介方責任原<br>則》，除非獨立公正的司法機關發布命令，認定所涉內容非法，否則不得要求仲介方限制用<br>戶內容。美國商會更明確指出，「我們強烈建議台灣政府和立法機構勿向數位平台施加諸如<br>侵害言論自由以及與正當法律程序相牴觸的不合理義務」！<br><br>呂謦煒認為，現在這個世道，不再有任何媒體享有壟斷訊息的權力，然而公民更該時時警醒<br>與懼怕的，是政府以各種名義所進行的擴權與壓迫。在民進黨敗選之後，從管假新聞到公投<br>送終，各項民主退步的作為，實在讓人不寒而慄。連民進黨奉為圭臬的美國人，對蔡英文管<br>制媒體的做法都有不同意見，如果民進黨、蔡英文真的把「民主」當作是「民進黨做主」，<br>再不改弦更張，那麼久經民主洗禮的台灣人民在之後的選舉中，一定不會支持讓民主送終的<br>政黨！<br><br>http://bit.ly/2RvsT7A<br><br>#唉 民退黨<br><br>2020庶民總統 翻轉台灣<br><br>把惡心綠畜趕去美國日本<br><br>既然都戒嚴了 把台灣還給祖國才有救<br><br>--<br>", "", ""
"Gossiping#M.1561349958.A.CE1#00001", "tkucuh", "荷蘭好玩嗎?", "61.221.161.18 06/24 12:19", "0"
"Gossiping#M.1561349958.A.CE1#00002", "taoyang0602", "中時正常發揮", "101.12.3.0 06/24 12:19", "0"
"Gossiping#M.1561349958.A.CE1#00003", "johnko64665", "中時、荷蘭", "114.136.228.130 06/24 12:19", "0"
"Gossiping#M.1561349958.A.CE1#00004", "gordan123", "這是不是假新聞", "101.136.40.130 06/24 12:19", "0"
"Gossiping#M.1561349958.A.CE1#00005", "chen00", "中時滾", "114.45.95.13 06/24 12:19", "0"
"Gossiping#M.1561349958.A.CE1#00006", "cooljiunn", "?", "218.164.107.12 06/24 12:19", "0"
"Gossiping#M.1561349958.A.CE1#00007", "barber", "狗報正常發揮", "211.20.226.94 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00008", "Plumpy", "跳板仔 嗯", "39.12.192.76 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00009", "flavorBZ", "誰叫你不挺民進黨", "110.50.170.42 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00010", "bole", "紅色叛國共媒賣台還敢說言論自由，不用跳板不敢講話了嗎？", "163.15.167.204 06/24 12:20", "0"
